city_id,city_name,locality_name,value_inr_per_sqft,direction_hint,approx_distance_from_core_km,effective_date
chennai,Chennai,T. Nagar,15000.0,S,5.0,2024-04-01
chennai,Chennai,Adyar,12000.0,S,5.0,2024-04-01
chennai,Chennai,Velachery,8500.0,S,5.0,2024-04-01
chennai,Chennai,OMR Sholinganallur,6000.0,S,5.0,2024-04-01
chennai,Chennai,Tambaram,5500.0,SW,5.0,2024-04-01
coimbatore,Coimbatore,RS Puram,8500.0,W,5.0,2024-04-01
coimbatore,Coimbatore,Gandhipuram,7800.0,N,5.0,2024-04-01
coimbatore,Coimbatore,Avinashi Road,9000.0,E,5.0,2024-04-01
madurai,Madurai,KK Nagar,4500.0,NE,5.0,2024-04-01
madurai,Madurai,Anna Nagar,4800.0,E,5.0,2024-04-01
tiruchirappalli,Tiruchirappalli,Thillai Nagar,5000.0,W,5.0,2024-04-01
tiruchirappalli,Tiruchirappalli,Cantonment,4800.0,S,5.0,2024-04-01
salem,Salem,Fairlands,4200.0,N,5.0,2024-04-01
salem,Salem,Meyyanur,3800.0,NW,5.0,2024-04-01
tiruppur,Tiruppur,Khaderpet,4000.0,N,5.0,2024-04-01
tiruppur,Tiruppur,Dharapuram Road,3500.0,S,5.0,2024-04-01
vellore,Vellore,Sathuvachari,3200.0,E,5.0,2024-04-01
vellore,Vellore,Katpadi,3500.0,N,5.0,2024-04-01
erode,Erode,Perundurai Road,3400.0,W,5.0,2024-04-01
erode,Erode,Sathy Road,3000.0,N,5.0,2024-04-01
