city_id,city_name,locality_name,value_inr_per_sqft,direction_hint,approx_distance_from_core_km,effective_date
hyderabad,Hyderabad,Kondapur,1250.0,W,5.0,2024-04-01
hyderabad,Hyderabad,Gachibowli,1350.0,W,5.0,2024-04-01
hyderabad,Hyderabad,Madhapur,1300.0,W,5.0,2024-04-01
hyderabad,Hyderabad,Kukatpally,1050.0,NW,5.0,2024-04-01
hyderabad,Hyderabad,Miyapur,950.0,NW,5.0,2024-04-01
hyderabad,Hyderabad,Kompally,820.0,N,5.0,2024-04-01
hyderabad,Hyderabad,Bandlaguda,880.0,S,5.0,2024-04-01
hyderabad,Hyderabad,Shadnagar,650.0,S,5.0,2024-04-01
hyderabad,Hyderabad,Warangal Highway,720.0,NE,5.0,2024-04-01
hyderabad,Hyderabad,Bibinagar,620.0,NE,5.0,2024-04-01
warangal,Warangal,Hanamkonda,480.0,NW,5.0,2024-04-01
warangal,Warangal,Kazipet,450.0,NE,5.0,2024-04-01
warangal,Warangal,Shayampet Road,400.0,N,5.0,2024-04-01
warangal,Warangal,Narsampet Road,380.0,E,5.0,2024-04-01
karimnagar,Karimnagar,Huzurabad Road,380.0,NE,5.0,2024-04-01
karimnagar,Karimnagar,Jammikunta,340.0,N,5.0,2024-04-01
karimnagar,Karimnagar,Manakondur,310.0,E,5.0,2024-04-01
nizamabad,Nizamabad,Armoor,340.0,N,5.0,2024-04-01
nizamabad,Nizamabad,Bodhan,310.0,NW,5.0,2024-04-01
nizamabad,Nizamabad,Dichpally,290.0,NE,5.0,2024-04-01
khammam,Khammam,Yellandu Road,320.0,NE,5.0,2024-04-01
khammam,Khammam,Bhadrachalam Road,310.0,SE,5.0,2024-04-01
khammam,Khammam,Kothagudem,350.0,SE,5.0,2024-04-01
nalgonda,Nalgonda,Suryapet Road,310.0,SE,5.0,2024-04-01
nalgonda,Nalgonda,Miryalaguda,290.0,SE,5.0,2024-04-01
mahbubnagar,Mahbubnagar,Jadcherla,320.0,N,5.0,2024-04-01
mahbubnagar,Mahbubnagar,Shamshabad Road,380.0,N,5.0,2024-04-01
adilabad,Adilabad,Mancherial,290.0,SE,5.0,2024-04-01
adilabad,Adilabad,Bellampalli,270.0,E,5.0,2024-04-01
medak,Medak,Sangareddy,420.0,S,5.0,2024-04-01
medak,Medak,Toopran,350.0,E,5.0,2024-04-01
siddipet,Siddipet,Gajwel,380.0,N,5.0,2024-04-01
siddipet,Siddipet,Chegunta,340.0,W,5.0,2024-04-01
